id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
3aadca48-3b5c-4c15-9987-b98d43cebfc1,staminate.cx,available,,,medium,low,9,,,
7e5fcaea-d829-4a3c-9a4f-1187c10ce8d8,anatomic.cx,available,,,medium,low,8,,,
b2b9c99d-30e1-46c7-a5ba-ea16e222e71a,Iwouldratherdie.cx,available,18.99,18.99,medium,low,18,namesilo,,
7cb82c6e-8f71-4f4e-93a9-ccb7bc1c1eed,fascinated.cx,available,18.99,18.99,high,low,10,namesilo,,
9dcc9bbc-1fc8-4f50-96b5-8290e0721d71,havethehotsfor.cx,available,18.99,18.99,medium,low,17,namesilo,,
3efc1aa0-9473-4edf-9164-2886b70cd88e,longest.cx,available,26.98,,medium,low,7,namecheap,,
2a686136-fdc5-4084-bc08-bd7f9fb93c55,amnestic.cx,available,,,medium,low,8,,,
74a0cd7c-41cc-489e-9af6-93a3fac1b4c9,adscripted.cx,available,,,medium,low,10,,,
48e9a0ea-795a-4f8a-a3ea-c358370bc197,LaurelandHardy.cx,available,18.99,18.99,medium,low,16,namesilo,,
fa260cff-1a01-4f84-a64b-bc4f97f09bed,mixedgrill.cx,available,18.99,18.99,high,low,11,namesilo,,
3fdd24f6-8e3b-4310-993c-1bff324b308b,pardon.cx,available,18.99,18.99,high,low,6,namesilo,,
7c0146e5-bd15-4197-9bf3-c1ca3f924e62,appointed.cx,available,,,medium,low,9,,,
4ef210ac-26b9-4201-87c1-3151d8405071,antitypic.cx,available,,,medium,low,9,,,
3835a000-5777-46e2-9130-5b82669bf838,Your.cx,resell,,,medium,medium,4,West263 International Limited,01/01/2016 19:06,01/01/2027 19:06
ab566c84-80e2-4c06-a9d1-496e40eeba43,antiviral.cx,available,,,high,low,9,,,
8152a21e-d242-4475-a3eb-c6d732dcd8b5,dateofdeath.cx,available,26.98,,medium,low,13,namecheap,,
eb231be7-e5c6-48ee-96b9-1c75939dc129,aciculate.cx,available,,,medium,low,9,,,
0e576c1c-0273-4ebf-8ca8-111c686dc832,albinotic.cx,available,,,medium,low,9,,,
609039e6-d988-4110-b688-1952fcb8087a,imagination.cx,available,26.98,,high,low,11,namecheap,,
e02a543e-1e65-42d4-80c8-21d12289fe10,blunt.cx,available,18.99,18.99,medium,low,5,namesilo,,
5ade62eb-28c5-4fbb-91bc-77e555c823cb,sandy.cx,available,,,high,low,5,,,
a5e8c3bc-5314-44ed-9c83-934c13d74cd5,thirdway.cx,available,18.99,18.99,high,low,9,namesilo,,
